"SEQN","GENDER","AGE","EDUCATION"
83732,"Male",62,"College Grad"
83733,"Male",53,"High School"
83734,"Male",78,"High School"
83735,"Female",56,"College Grad"
83736,"Female",42,"Some College"
83737,"Female",72,"Less than High School"
83741,"Male",22,"Some College"
83742,"Female",32,"Some College"
83744,"Male",56,"High School"
83747,"Male",46,"College Grad"
83750,"Male",45,"Less than High School"
83752,"Female",30,"Some College"
83754,"Female",67,"College Grad"
83755,"Male",67,"College Grad"
83757,"Female",57,"Less than High School"
83758,"Male",80,"College Grad"
83761,"Female",24,"College Grad"
83762,"Female",27,"Some College"
83767,"Female",54,"Some College"
83769,"Male",49,"Less than High School"
83773,"Female",80,"High School"
83775,"Female",69,"Less than High School"
83776,"Female",58,"College Grad"
83777,"Male",56,"Less than High School"
83781,"Female",27,"College Grad"
83784,"Male",22,"Some College"
83785,"Female",60,"College Grad"
83786,"Male",51,"Some College"
83787,"Female",68,"Less than High School"
83788,"Female",69,"Some College"
83789,"Male",66,"College Grad"
83790,"Male",56,"Less than High School"
83791,"Female",80,"Less than High School"
83799,"Female",37,"Some College"
83801,"Female",80,"College Grad"
83802,"Female",29,"High School"
83803,"Male",27,"Some College"
83809,"Female",20,"High School"
83812,"Female",68,"High School"
83813,"Male",24,"Some College"
83816,"Male",27,"Some College"
83817,"Male",42,"College Grad"
83818,"Female",80,"Less than High School"
83820,"Male",70,"College Grad"
83821,"Male",80,"Less than High School"
83822,"Female",20,"Some College"
83823,"Female",29,"Less than High School"
83824,"Male",23,"College Grad"
83827,"Male",61,"High School"
83828,"Female",39,"High School"
83829,"Male",50,"College Grad"
83832,"Female",50,"Less than High School"
83834,"Male",69,"High School"
83837,"Female",45,"Less than High School"
83843,"Male",80,"Some College"
83844,"Male",27,"Less than High School"
83845,"Female",44,"Less than High School"
83846,"Female",41,"Some College"
83849,"Male",71,"Some College"
83851,"Female",37,"High School"
83853,"Female",49,"High School"
83854,"Female",46,"College Grad"
83856,"Male",30,"Some College"
83857,"Female",31,"College Grad"
83860,"Male",41,"Some College"
83861,"Male",80,"College Grad"
83863,"Male",35,"High School"
83865,"Female",21,"Less than High School"
83866,"Male",40,"Some College"
83869,"Female",67,"College Grad"
83870,"Male",48,"High School"
83871,"Female",30,"Less than High School"
83872,"Male",63,"High School"
83874,"Male",54,"Less than High School"
83875,"Female",42,"College Grad"
83876,"Female",71,"High School"
83880,"Female",79,"Less than High School"
83881,"Female",32,"College Grad"
83883,"Female",80,"Less than High School"
83884,"Male",61,"High School"
83885,"Female",38,"Some College"
83886,"Male",74,"College Grad"
83887,"Female",51,"Less than High School"
83889,"Male",26,"College Grad"
83891,"Female",54,"Some College"
83893,"Female",68,"Less than High School"
83894,"Male",60,"High School"
83895,"Female",80,"High School"
83897,"Female",29,"College Grad"
83898,"Male",55,"Some College"
83899,"Male",27,"Less than High School"
83900,"Female",52,"College Grad"
83902,"Male",49,"Some College"
83903,"Female",47,"Some College"
83904,"Female",80,"Less than High School"
83907,"Male",22,"College Grad"
83908,"Male",51,"High School"
83909,"Female",49,"Some College"
83910,"Male",37,"High School"
83911,"Female",43,"Some College"
83913,"Male",43,"Less than High School"
83914,"Female",23,"Some College"
83915,"Male",71,"Some College"
83920,"Female",68,"Less than High School"
83924,"Female",48,"Less than High School"
83925,"Female",74,"High School"
83926,"Male",66,"Some College"
83927,"Female",66,"College Grad"
83928,"Female",62,"High School"
83931,"Male",37,"Less than High School"
83932,"Female",80,"Some College"
